year;Y;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23
2018;1;11,99693756;12,86350368;1,751100153;3,810724184;0,791840838;2,003480282;0,417042777;0,526675005;0,571069563;1,777847344;97,0614856;1;0,029385144;34,03080144;0,029385144;0,141166709;0,477363492;41,29273456;17,2208367;586,0388744;0,172208367;0,827291795;0,235810239
2017;1;9,809559357;10,63227031;1,807125814;0,524822211;0,777015775;1,746907693;0,389532859;0,501319113;0,553364903;10,15612565;97,17428688;1;0,028257131;35,3892967;0,028257131;0,126722557;0,386655544;37,91840119;14,77046322;522,7163053;0,147704632;0,662399468;0,209827124
2016;1;15,88182115;17,07728535;1,817738506;0,90856284;0,784192739;0,975747701;0,406148912;0,517919756;0,550134135;9,734784508;97,40448416;1;0,025955158;38,52798677;0,025955158;0,062355667;0,565222839;40,59803589;16,48884811;635,2821219;0,164888481;0,396134402;0,223343653
2015;1;14,85777968;16,14087412;1,777106119;1,05548139;0,754660372;1,623657332;0,398347486;0,527850012;0,562712597;8,072108783;97,74594787;1;0,022540521;44,36454624;0,022540521;0,091874767;0,482102586;42,1159073;16,77676581;744,2936024;0,167767658;0,683818017;0,236991516
2014;1;13,55790913;14,89323921;1,644721025;0,393366546;0,742110243;1,632136351;0,420911247;0,567181562;0,608005847;21,47404439;98,2106184;1;0,017893816;55,88522885;0,017893816;0,069385524;0,359106863;41,22808508;17,3533647;969,7967573;0,173533647;0,672898564;0,250669168
2013;1;11,17103751;12,36659219;1,524218413;0,888986781;0,721264912;1,560400922;0,434938488;0,603021832;0,656073953;8,388566886;98,6849543;1;0,013150457;76,0429845;0,013150457;0,047179051;0,225473798;41,53164946;18,06371283;1373,618635;0,180637128;0,648060241;0,272478334
2012;1;11,13274164;12,97408878;1,083945161;3,027243523;0,609985338;1,33167044;0,519370997;0,851448329;0,922555897;3,649117136;97,50127433;1;0,024987257;40,02039967;0,024987257;0,06406748;0,531466688;28,6344028;14,87187832;595,178514;0,148718783;0,381315878;0,264168371
2011;1;11,67896852;12,69876602;0,839055803;4,057157372;0,372430068;0,651583829;0,408914419;1,097962958;1,191815844;3,436587103;88,31131725;1;0,116886828;8,555283955;0,116886828;0,186253072;3,985495801;19,82705414;8,10756833;69,36254925;0,081075683;0,129189879;0,236301973
2018;0;0,902136244;1,007826559;0,024181723;0,028255868;0,68961717;0,713523387;0,221465408;0,321142538;41,35354682;11,4544697;68,94187915;1;0,310581209;3,219769814;0,310581209;1,000639141;0,453892398;-0,974266279;-0,215766279;-0,694717753;-0,002157663;-0,006951618;-0,402893662
2017;0;0,9435016;0,996665227;-0,009083597;0,057844666;0,678076178;0,775862156;0,249768511;0,368348747;-110,0885527;6,346659297;69,84879277;1;0,301512072;3,316616786;0,301512072;0,936594473;0,443175277;-7,179234694;-1,793146757;-5,947180633;-0,017931468;-0,055700965;7,903515573
2016;0;0,965863069;1,027951755;0,052486377;0,012327385;0,680988662;1,105919508;0,352800861;0,518071564;19,05256283;43,20077374;71,26124754;1;0,287387525;3,479622163;0,287387525;0,900869313;0,433811202;-11,38959342;-4,018258371;-13,98202088;-0,040182584;-0,125959736;-2,170009443
2015;1;1,051236536;1,112501225;0,217006473;0,101051997;0,689293251;1,033802084;0,321209284;0,465998012;4,608157464;5,130263388;71,41298869;1;0,285870113;3,498092155;0,285870113;0,920064061;0,461386863;0,641950981;0,206200615;0,721308755;0,002062006;0,006636503;0,029582112
2014;1;1,100636181;1,163437445;0,211309095;0,06036873;0,584664129;0,935830818;0,388684108;0,664798966;4,732403965;12,81212998;63,38026173;1;0,366197383;2,730767742;0,366197383;0,881689755;0,728705125;2,264762853;0,88027733;2,403832937;0,008802773;0,021194349;0,107177727
2013;1;1,134422222;1,183187509;0,309122089;0,042845339;0,663590772;0,987972096;0,33236293;0,500855263;3,234967788;13,83127556;72,12011722;1;0,278798828;3,586815655;0,278798828;0,828749048;0,497100479;5,831023406;1,938016027;6,951306224;0,01938016;0,057608884;0,188631729
2012;1;0,127360208;1,189626602;0,398922787;0,076993065;0,732472884;1,094015547;0,292678824;0,399576326;2,506750759;6,173888856;81,41900059;1;0,185809994;5,381841838;0,185809994;0,694546395;0,301778423;2,623795288;0,76792932;4,132874143;0,007679293;0,028704728;0,065772008
2011;0;1,143854374;1,180447838;0,360861104;0,024450184;0,66222487;0,830505713;0,280524175;0,423608638;2,77114931;20,4517031;68,04245392;0,888376686;0,234081049;4,272024604;0,207952146;0,615652627;0,370684752;-28,71722186;-8,055874975;-38,73908069;-0,090680846;-0,238498168;-0,795797095
2018;1;2,089758065;2,208120197;0,659503811;0,18920447;0,549907893;1,013581513;0,456205039;0,829602639;1,516291464;9,681918956;71,97980294;1;0,280201971;3,568854273;0,280201971;0,622543622;1,125133206;11,30001988;5,155126009;18,39789348;0,05155126;0,114534912;0,171341237
2017;1;2,016391284;2,066041498;0,624365247;0,15006348;0,522706259;0,905041118;0,431970461;0,826411494;1,60162662;11,37785449;67,82948038;1;0,321705196;3,108435958;0,321705196;0,674019307;1,271567489;14,35128053;6,199329259;19,27021799;0,061993293;0,12988499;0,229853929
2016;1;1,751434592;1,824723176;0,435570451;0,140054226;0,411457172;0,72543644;0,426950414;1,037654566;2,295839853;13,51928029;66,6330921;1;0,333669079;2,99698133;0,333669079;0,566941034;1,47974988;15,54188791;6,635615473;19,88681568;0,066356155;0,112746518;0,356816857
2015;1;1,422825826;1,462473572;0,195840581;0,247490641;0,327652191;0,786892285;0,529065303;1,614716206;5,106193994;9,541693254;72,13360248;1;0,278663975;3,588551406;0,278663975;0,414464019;1,243814966;19,69043399;10,41752543;37,38382553;0,104175254;0,154942506;1,005431758
2014;1;1,343704545;1,377168599;0,139661883;0,445084623;0,303468623;0,85436536;0,595092281;1,960968075;7,160149764;6,067573488;73,41435379;1;0,265856462;3,761428223;0,265856462;0,381686268;1,206481146;17,03978874;10,14024674;38,1418103;0,101402467;0,145582052;1,220074393
2013;1;2,088117759;2,159958784;0,465597071;0,961598148;0,457702615;0,973492787;0,527922593;1,153418345;2,147779835;2,590828705;73,92253556;1;0,260774644;3,834728649;0,260774644;0,480870186;1,230629813;12,8676646;6,793130859;26,04981352;0,067931309;0,125265787;0,276369106
2012;1;4,957386539;5,208336055;1,187342322;1,401923521;0,555740953;0,851278349;0,378188108;0,680511497;0,842217094;2,528192523;67,82726063;1;0,321727394;3,108221494;0,321727394;0,724188727;3,015189675;1527,546101;577,6997694;1795,61884;5,776997694;13,00366922;12,86525438
2011;1;-11,16314219;4,590018741;1,242706736;1,049695877;0,551942214;0,775306076;0,347381924;0,629380966;0,804695083;2,75210229;74,66895901;1;0,25331041;3,947725639;0,25331041;0,5653521;2,10656025;15,07193939;5,235719298;20,66918331;0,052357193;0,116853662;0,121283155
2018;1;2,568946766;2,56898477;21,75167207;0,812867285;0,348177374;0,01499808;0,009776088;0,028077895;0,045973477;0,088737346;13,894218;1;0,86105782;1,161362195;0,86105782;1,3210002;6,353211306;6,894933483;0,067405476;0,078282171;0,000674055;0,001034108;0,003169841
2017;1;3,659340058;3,659416164;29,79615596;1,321453863;0,338205969;0,012464438;0,00824889;0,024390138;0,033561376;0,067542022;9,706538423;1;0,902934616;1,107499904;0,902934616;1,36437407;9,769826181;3,171306256;0,026159758;0,028971929;0,000261598;0,000395285;0,001064334
2016;1;3,093615935;3,093687989;33,3657609;1,810012144;0,350267529;0,01093452;0,007104513;0,020283104;0,029970844;0,034668052;11,72182975;1;0,882781703;1,132782881;0,882781703;1,358684909;7,797043462;0,283371598;0,002013217;0,002280538;2,01322E-05;3,09853E-05;8,49289E-05
2015;1;2,555925069;2,556075177;14,92433405;0,833322328;0,315706517;0,018819286;0,012877915;0,040790778;0,067004665;0,125118807;13,00334732;1;0,869966527;1,149469513;0,869966527;1,271335397;7,043566486;11,03403309;0,142095335;0,163334255;0,001420953;0,002076526;0,007393317
2014;1;2,998807854;2,99891941;14,84871552;1,243184814;0,300849793;0,019316162;0,013504898;0,044889173;0,067345893;0,108285599;10,68880659;1;0,893111934;1,119680481;0,893111934;1,277424974;8,902684237;5,747415518;0,077618263;0,086907654;0,000776183;0,00111018;0,003870648
2013;1;2,787334973;2,78743632;17,9237235;1,500246724;0,26189416;0,012694177;0,009369646;0,035776462;0,055791979;0,066472139;10,04789115;1;0,899521089;1,111702675;0,899521089;1,218688486;9,573935337;8,890765967;0,083303334;0,092608539;0,000833033;0,00112861;0,004960334
2012;1;0,024758054;0,024759115;-738,3646993;1,496297693;0,178145672;0,01156342;0,009503447;0,053346491;-0,001354344;0,00088272;7,816802217;1;0,921831978;1,084796388;0,921831978;1,12164887;0,12811843;12,08562332;0,114855075;0,12459437;0,001148551;0,001397511;-0,000163681
2011;1;6,587395719;6,600641876;1,136508256;4,934291777;0,733981773;2,059932169;0,547979502;0,746584618;0,879888021;0,998712261;90,47220883;1;0,095277912;10,49561207;0,095277912;0,358163096;0,856826963;25,07485537;13,74050677;144,2150287;0,137405068;0,516525012;0,220630649
2018;1;0,955068355;1,737805868;0,955770453;0,004631137;0,767179196;1,463734398;0,340787819;0,444208889;1,046276328;166,6866669;70,69764821;1;0,293023518;3,412695361;0,293023518;1,258579618;0,663753646;3,300987308;1,124936265;3,839064771;0,011249363;0,048317687;0,034537449
2017;1;1,094086865;1,893980556;1,194703013;0,049029957;0,753964344;1,210724566;0,297881413;0,395086871;0,837028106;15,26182952;70,94172547;1;0,290582745;3,441360563;0,290582745;1,181059483;0,729952383;1,448836494;0,431581463;1,485227425;0,004315815;0,017541419;0,012127169
2016;1;1,183025774;1,962785422;1,195219658;0,019876023;0,710197814;1,005742097;0,291466258;0,410401514;0,836666293;40,52773002;69,85213637;1;0,301478636;3,316984621;0,301478636;1,040291105;0,833201484;8,539627546;2,489013289;8,2560188;0,024890133;0,085886629;0,071448185
2015;1;1,028365785;1,645994015;1,158983681;0,005375609;0,807741799;1,422691067;0,273524025;0,338628044;0,862824918;103,6868082;93,97141682;1;0,060285832;16,58764538;0,060285832;0,313567023;0,12284881;8,900620086;2,434533433;40,38317726;0,024345334;0,126628327;0,076796768
2014;0;1,651118499;2,295636312;1,479909252;0,008450066;0,878436523;2,75582864;0,335008113;0,381368607;0,675717108;103,6067253;87,63494879;0,926246877;0,053870508;18,56303283;0,049897389;0,410463656;0,130397879;-31,09262286;-10,4162809;-208,7540256;-0,112456853;-0,856859406;-0,210098172
2013;1;2,406751339;2,423880798;0,947296383;0,000294822;0,874372824;4,316080627;0,542217022;0,620121082;1,055635827;5098,329317;96,72575951;1,014497796;0,04656511;21,4753064;0,047240201;0,376034889;0,130956285;2,448592434;1,327668497;28,10463252;0,013086953;0,105683224;0,025848219
2012;1;1,48196604;2,43712546;0,89979254;0,070548538;0,866553144;4,255604532;0,567897047;0,655351667;1,111367293;22,63936678;96,37804831;1,007474776;0,043370111;23,05735413;0,043694292;0,327428414;0,122887411;4,62730966;2,627835491;60,14139012;0,026083387;0,19692;0,051426406
